scenario,year,trades,net_usd,gross_profit_usd,gross_loss_usd,profit_factor,win_rate,avg_trade_usd,max_drawdown_usd,pnl_to_max_drawdown,avg_applied_risk_fraction,avg_raw_full_kelly_fraction,avg_continuous_contract_equivalent,discrete_positive_contract_trades
walkforward_quarter_kelly_capped_025pct_continuous,2025,81,1276.13,3945.77,2669.64,1.478,0.5926,15.7547,1036.95,1.2307,0.0025,0.1485526,0.636354,0
walkforward_quarter_kelly_capped_025pct_continuous,2026,30,775.4,1627.89,852.49,1.9096,0.6667,25.8467,194.55,3.9856,0.0025,0.15269156,0.464454,0
walkforward_eighth_kelly_capped_025pct_continuous,2019,49,0,0,0,,0,0,0,,0,0,0,0
walkforward_eighth_kelly_capped_025pct_continuous,2020,109,83.5,2585.82,2502.32,1.0334,0.2936,0.7661,507.36,0.1646,0.00133028,0.05653528,0.541849,0
walkforward_eighth_kelly_capped_025pct_continuous,2021,86,606.45,4079.62,3473.17,1.1746,0.5814,7.0518,658.72,0.9207,0.00233129,0.0362881,0.887368,0
walkforward_eighth_kelly_capped_025pct_continuous,2022,90,1805.95,5073.31,3267.37,1.5527,0.5556,20.0661,552.05,3.2714,0.0025,0.07881267,0.60656,0
walkforward_eighth_kelly_capped_025pct_continuous,2023,101,1757.09,5865.28,4108.19,1.4277,0.5644,17.3969,930.55,1.8882,0.0025,0.11876243,0.914991,0
walkforward_eighth_kelly_capped_025pct_continuous,2024,85,1626.39,5064.19,3437.8,1.4731,0.6,19.1341,615.39,2.6429,0.0025,0.13883658,0.835983,0
walkforward_eighth_kelly_capped_025pct_continuous,2025,81,1276.13,3945.77,2669.64,1.478,0.5926,15.7547,1036.95,1.2307,0.0025,0.1485526,0.636354,0
walkforward_eighth_kelly_capped_025pct_continuous,2026,30,775.4,1627.89,852.49,1.9096,0.6667,25.8467,194.55,3.9856,0.0025,0.15269156,0.464454,0
walkforward_quarter_kelly_capped_025pct_discrete_floor,2019,49,0,0,0,,0,0,0,,0,0,0,0
walkforward_quarter_kelly_capped_025pct_discrete_floor,2020,109,305.75,1256.75,951,1.3215,0.1651,2.805,266,1.1494,0.00133028,0.05653528,0.541849,30
walkforward_quarter_kelly_capped_025pct_discrete_floor,2021,86,70.75,1425.75,1355,1.0522,0.2093,0.8227,449.5,0.1574,0.00246475,0.0362881,0.93448,34
walkforward_quarter_kelly_capped_025pct_discrete_floor,2022,90,-17.5,95.5,113,0.8451,0.0111,-0.1944,113,-0.1549,0.0025,0.07881267,0.60656,5
walkforward_quarter_kelly_capped_025pct_discrete_floor,2023,101,225,1584,1359,1.1656,0.1782,2.2277,358,0.6285,0.0025,0.11876243,0.914991,33
walkforward_quarter_kelly_capped_025pct_discrete_floor,2024,85,412.5,1277,864.5,1.4772,0.1412,4.8529,241.5,1.7081,0.0025,0.13883658,0.835983,23
walkforward_quarter_kelly_capped_025pct_discrete_floor,2025,81,279.75,357.25,77.5,4.6097,0.0494,3.4537,77.5,3.6097,0.0025,0.1485526,0.636354,6
walkforward_quarter_kelly_capped_025pct_discrete_floor,2026,30,0,0,0,,0,0,0,,0.0025,0.15269156,0.464454,0
