"year","trades","net_pnl_usd","profit_factor","max_drawdown_usd","pnl_to_dd","win_rate","avg_net_trade_usd","max_drawdown_date"
"2019","49","39.75","1.0289","686.25","0.0579","0.5306","0.81","2019-10-14"
"2020","109","1040.25","1.2179","429.5","2.422","0.5596","9.54","2020-10-06"
"2021","86","1199.75","1.2986","538.75","2.2269","0.5814","13.95","2021-03-16"
"2022","90","2822.25","1.4589","831.5","3.3942","0.5556","31.36","2022-04-18"
"2023","101","2101.25","1.4438","1417","1.4829","0.5644","20.8","2023-10-12"
"2024","85","1919","1.4124","1133.25","1.6934","0.6","22.58","2024-10-25"
"2025","81","1990.75","1.4162","1767.25","1.1265","0.5926","24.58","2025-08-18"
"2026","30","2173","2.3075","367.5","5.9129","0.6667","72.43","2026-04-10"
