scenario,description,selected_trades,removed_trades,removed_net_usd,trades,net_usd,gross_profit_usd,gross_loss_usd,profit_factor,win_rate,avg_net_usd,max_drawdown_usd,pnl_to_max_drawdown,avg_mfe_30m_to_risk,avg_mae_30m_to_risk,avg_mfe_60m_to_risk,avg_mae_60m_to_risk,avg_mfe_120m_to_risk,avg_mae_120m_to_risk
baseline_all_breakout_long,All opening_range_box_breakout_long trades from the expanded-cache baseline ledger.,631,0,0,631,13286,45436,32150,1.4133,0.5753,21.0555,1767.25,7.5179,0.305868,0.317499,0.438408,0.468317,0.539625,0.565802
exclude_14_plus,Exclude signal time bucket 14:00+ only. This is the predeclared late-chase avoid-zone test.,561,70,-595.25,561,13881.25,43514.25,29633,1.4684,0.5793,24.7438,1761.75,7.8792,0.302728,0.31294,0.427898,0.46247,0.544826,0.571059
exclude_late_chase_13_plus,"Diagnostic only: exclude the broader late_chase label, which starts at 13:00 in the factor audit.",519,112,-41.25,519,13327.25,40971.25,27644,1.4821,0.5742,25.6787,1719.25,7.7518,0.311718,0.317147,0.437816,0.469244,0.55329,0.579572
prior_down_family_only,Keep prior_down and prior_down_large only; broad prior-session weakness conditioning test.,245,386,3956.25,245,9329.75,21213.75,11884,1.7851,0.5959,38.0806,921.5,10.1245,0.308829,0.309186,0.427154,0.444348,0.530249,0.522471
prior_up_family_only_contrast,"Keep prior_up and prior_up_large only; contrast set, not a promotion candidate.",383,248,9607.75,383,3678.25,23944.25,20266,1.1815,0.5587,9.6038,2363.5,1.5563,0.303867,0.323229,0.444407,0.484938,0.544744,0.597315
exclude_or_prior_gt_075,Exclude only very-large opening ranges above 0.75 of prior range; broad OR-size stress test.,538,93,289,538,12997,39270,26273,1.4947,0.5725,24.158,1155,11.2528,0.329683,0.332999,0.458788,0.488603,0.584158,0.587673
