strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-14-1557844440000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-14-1557844440000000000,2019-05-14,1557844440000000000,2019-05-14T14:34:00.000000000Z,long,low,7395.5,7345.25,pt1:7445.75|pt2:7496,1557863940000000000,2019-05-14T19:59:00.000000000Z,7428.625,pt1_then_rth_close,325,33.125,66.25,2,64.25,64,7.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-15-1557928860000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-15-1557928860000000000,2019-05-15,1557928860000000000,2019-05-15T14:01:00.000000000Z,long,low,7412.5,7362.5,pt1:7462.5|pt2:7512.5,1557934200000000000,2019-05-15T15:30:00.000000000Z,7487.5,pt2,89,75,150,2,148,100.5,6.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-15-1557928860000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-15-1557928860000000000,2019-05-15,1557928860000000000,2019-05-15T14:01:00.000000000Z,long,low,7412.5,7362.5,pt1:7462.5|pt2:7512.5,1557934200000000000,2019-05-15T15:30:00.000000000Z,7487.5,pt2,89,75,150,2,148,100.5,6.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-17-1558103160000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-17-1558103160000000000,2019-05-17,1558103160000000000,2019-05-17T14:26:00.000000000Z,long,low,7569,7515.75,pt1:7622.25|pt2:7675.5,1558120560000000000,2019-05-17T19:16:00.000000000Z,7515.75,stop,290,-53.25,-106.5,2,-108.5,50.75,57,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-17-1558103160000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-17-1558103160000000000,2019-05-17,1558103160000000000,2019-05-17T14:26:00.000000000Z,long,low,7569,7515.75,pt1:7622.25|pt2:7675.5,1558120560000000000,2019-05-17T19:16:00.000000000Z,7515.75,stop,290,-53.25,-106.5,2,-108.5,50.75,57,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-20-1558362300000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-20-1558362300000000000,2019-05-20,1558362300000000000,2019-05-20T14:25:00.000000000Z,long,low,7417.25,7361,pt1:7473.5|pt2:7529.75,1558382340000000000,2019-05-20T19:59:00.000000000Z,7387,rth_close,334,-30.25,-60.5,2,-62.5,21,54,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-20-1558362300000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-20-1558362300000000000,2019-05-20,1558362300000000000,2019-05-20T14:25:00.000000000Z,long,low,7417.25,7361,pt1:7473.5|pt2:7529.75,1558382340000000000,2019-05-20T19:59:00.000000000Z,7387,rth_close,334,-30.25,-60.5,2,-62.5,21,54,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-21-1558452900000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-21-1558452900000000000,2019-05-21,1558452900000000000,2019-05-21T15:35:00.000000000Z,long,low,7459.5,7426,pt1:7493|pt2:7526.5,1558468740000000000,2019-05-21T19:59:00.000000000Z,7463.25,rth_close,264,3.75,7.5,2,5.5,25.75,14.5,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-22-1558534500000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-22-1558534500000000000,2019-05-22,1558534500000000000,2019-05-22T14:15:00.000000000Z,long,low,7453.5,7419.75,pt1:7487.25|pt2:7521,1558545000000000000,2019-05-22T17:10:00.000000000Z,7419.75,stop,175,-33.75,-67.5,2,-69.5,9,34.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-22-1558534500000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-22-1558534500000000000,2019-05-22,1558534500000000000,2019-05-22T14:15:00.000000000Z,long,low,7453.5,7419.75,pt1:7487.25|pt2:7521,1558545000000000000,2019-05-22T17:10:00.000000000Z,7419.75,stop,175,-33.75,-67.5,2,-69.5,9,34.25,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-22-1558549860000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-22-1558549860000000000,2019-05-22,1558549860000000000,2019-05-22T18:31:00.000000000Z,long,low,7449.75,7418.75,pt1:7480.75|pt2:7511.75,1558555140000000000,2019-05-22T19:59:00.000000000Z,7430.5,rth_close,88,-19.25,-38.5,2,-40.5,14.75,19.25,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2019-05-22-1558549920000000000-opening_range_box_breakout_long,bt-mnq-12mo-2019-05-22-1558549920000000000,2019-05-22,1558549920000000000,2019-05-22T18:32:00.000000000Z,long,low,7453.5,7419.75,pt1:7487.25|pt2:7521,1558555140000000000,2019-05-22T19:59:00.000000000Z,7430.5,rth_close,87,-23,-46,2,-48,11,23,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2019-05-28-1559059320000000000-opening_range_box_regime_long,bt-mnq-12mo-2019-05-28-1559059320000000000,2019-05-28,1559059320000000000,2019-05-28T16:02:00.000000000Z,long,low,7351.75,7320.75,pt1:7382.75|pt2:7413.75,1559068200000000000,2019-05-28T18:30:00.000000000Z,7320.75,stop,148,-31,-62,2,-64,3.75,33.5,
